time,Fy
0.0786,3502.87257939782
0.0792,3529.51436315952
0.0798,3556.14539016701
0.0804,3582.77018677142
0.081,3609.38534818982
0.0816,3635.99347949597
0.0822,3662.59640273568
0.0828,3689.18988613603
0.0834,3715.77809532470
0.084,3742.36221748262
0.0846,3768.94161150336
0.0852,3795.51548806992
0.0858,3822.08009261904
0.0864,3848.63971614941
0.087,3875.19255315245
0.0876,3901.73828046595
0.0882,3928.27528509926
0.0888,3954.79712115648
0.0894,3981.30858867542
0.09,4007.80982775658
0.0906,4034.30342298768
0.0912,4060.78908358838
0.0918,4087.26537740179
0.0924,4113.73223914954
0.093,4140.18851103389
0.0936,4166.63552775600
0.0942,4193.07232656240
0.0948,4219.50038996016
0.0954,4245.91894752221
0.096,4272.32413253722
0.0966,4298.71067219002
0.0972,4325.08338551894
0.0978,4351.44423268397
0.0984,4377.79617983251
0.099,4404.13967456640
0.0996,4430.47319966678
0.1002,4456.79247824208
0.1008,4483.10442476563
0.1014,4509.40778499312
0.102,4535.69865409843
0.1026,4561.97232154781
0.1032,4588.22405327040
0.1038,4614.45445040688
0.1044,4640.67001974413
0.105,4666.86888783610
0.1056,4693.05364520361
0.1062,4719.22722540202
0.1068,4745.38793928970
0.1074,4771.53452423462
0.108,4797.66976589549
0.1086,4823.79513596813
0.1092,4849.90759349741
0.1098,4875.99773581814
0.1104,4902.06310533475
0.111,4928.10493488077
0.1116,4954.12511055379
0.1122,4980.13128821894
0.1128,5006.12250482698
0.1134,5032.10150764128
0.114,5058.06578072352
0.1146,5084.01872427254
0.1152,5109.95853572371
0.1158,5135.88014805283
0.1164,5161.78933295530
0.117,5187.66723683539
0.1176,5213.50653789504
0.1182,5239.31827200538
0.1188,5265.10938425789
0.1194,5290.88552457754
0.12,5316.63849416938
0.1206,5342.37246325037
0.1212,5368.09067715686
0.1218,5393.79040601808
0.1224,5419.47576062678
0.123,5445.14847002899
0.1236,5470.80481145145
0.1242,5496.43479958109
0.1248,5522.03485157923
0.1254,5547.59816262739
0.126,5572.83292218432
0.1266,5598.57311495078
0.1272,5624.09204364346
0.1278,5649.24577863715
0.1284,5674.94087270285
0.129,5700.08778843773
0.1296,5725.75315020566
0.1302,5750.85151995725
0.1308,5776.47660908448
0.1314,5801.49966451018
0.132,5827.07079763459
0.1326,5852.01901537123
0.1332,5877.55470215002
0.1338,5902.44345046224
0.1344,5927.92619391619
0.135,5952.74003572349
0.1356,5977.81809768758
0.1362,6002.89561666339
0.1368,6027.94809672336
0.1374,6052.96800513792
0.138,6077.95589980051
0.1386,6102.91896505229
0.1392,6127.84929159533
0.1398,6152.74473483706
0.1404,6177.60757697875
0.141,6202.42581625229
0.1416,6227.18166989894
0.1422,6251.89800907094
0.1428,6276.58188076886
0.1434,6301.23668469677
0.144,6325.86690997920
0.1446,6350.47108685021
0.1452,6375.03312467750
0.1458,6399.54343064246
0.1464,6424.01684021722
0.147,6448.44467073830
0.1476,6472.83097844150
0.1482,6497.18604370051
0.1488,6521.50405901837
0.1494,6545.77612231565
0.15,6570.01015461274
0.1506,6594.20131850525
0.1512,6618.35248059600
0.1518,6642.45400024166
0.1524,6666.50291984438
0.153,6690.49125958915
0.1536,6714.42478834176
0.1542,6738.31314744278
0.1548,6762.16877508173
0.1554,6785.98399172995
0.156,6809.75743262890
0.1566,6833.48103635962
0.1572,6857.11604425968
0.1578,6880.65945748762
0.1584,6904.13944449715
0.159,6927.57915412464
0.1596,6950.97639172771
0.1602,6974.31350383891
0.1608,6997.58513782761
0.1614,7020.79676841456
0.162,7043.94731980454
0.1626,7067.03562568310
0.1632,7090.06185588586
0.1638,7113.02605131629
0.1644,7135.91490654720
0.165,7158.72173061859
0.1656,7181.46457932067
0.1662,7204.14031586774
0.1668,7226.75732821286
0.1674,7248.72108979037
0.168,7271.66685725712
0.1686,7293.57913954397
0.1692,7316.39900425046
0.1698,7338.11184412157
0.1704,7360.79427666576
0.171,7382.33714273558
0.1716,7404.24303669082
0.1722,7426.11158971056
0.1728,7447.89625898803
0.1734,7469.58203875642
0.174,7491.17891171837
0.1746,7512.68800072195
0.1752,7534.10399364288
0.1758,7555.40312748509
0.1764,7576.58845286323
0.177,7597.66137256051
0.1776,7618.62334993344
0.1782,7639.45268716512
0.1788,7659.56100676464
0.1794,7680.56871900931
0.18,7700.51077317504
0.1806,7721.31078486547
0.1812,7740.95410107792
0.1818,7760.84482243901
0.1824,7780.62510679651
0.183,7800.24311330918
0.1836,7819.69402765267
0.1842,7838.95846439578
0.1848,7857.42972476429
0.1854,7876.72986035558
0.186,7894.81201761706
0.1866,7913.04770561098
0.1872,7931.06519422406
0.1878,7948.79549540237
0.1884,7966.16671345056
0.189,7982.48576427725
0.1896,7998.91224125789
0.1902,8015.02717933670
0.1908,8030.66537073773
0.1914,8045.04592868688
0.192,8059.29999715008
0.1926,8072.96716585699
0.1932,8085.02429741472
0.1938,8095.78241909251
0.1944,8105.93595025229
0.195,8113.82468714294
0.1956,8118.32130552067
0.1962,8119.05707269814
0.1968,8112.18019040554
0.1974,8078.27275286122
0.198,7438.89968540093
0.1986,6582.32116532496
0.1992,6383.12494469616
0.1998,6302.83705924406
0.2004,6251.82402202214
0.201,6201.20701806595
0.2016,6144.28179124003
0.2022,6066.51692715850
0.2028,5980.29440754989
0.2034,5921.92716653693
0.204,5871.07921570243
0.2046,5827.76666061005
0.2052,5787.44796194093
0.2058,5744.88543258749
0.2064,5703.87298343990
0.207,5664.33900568080
0.2076,5627.47116741005
0.2082,5586.45180043190
0.2088,5547.23219184912
0.2094,5510.87029101830
0.21,5480.68919977037
0.2106,5452.10250472339
0.2112,5420.60638341552
0.2118,5368.87512669571
0.2124,5296.83403343904
0.213,5241.81759964070
0.2136,5198.32577101478
0.2142,5158.65642419952
0.2148,5122.78881328944
0.2154,5089.17779198496
0.216,5057.79992530934
0.2166,5024.63416390186
0.2172,4987.88218358150
0.2178,4952.07192437021
0.2184,4918.62862270685
0.219,4886.86694582822
0.2196,4855.21452185501
0.2202,4823.83754641440
0.2208,4790.36490469776
0.2214,4758.01183147594
0.222,4727.23535513808
0.2226,4699.42215012144
0.2232,4671.60597300874
0.2238,4647.46970305584
0.2244,4621.69722424464
0.225,4595.79802875350
0.2256,4571.84876173862
0.2262,4546.38564786845
0.2268,4519.04436022090
0.2274,4491.21812246179
